implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output,a_size,b_size,c_size,total_ops,m_dominant,n_dominant,q_dominant,shape_type
Implementation 2 (MM-1D),1200,1200,3000,9,1.306060,6.828729,7.054151,11.754540,0,ok,mpirun -np 9 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 1.17916 seconds Total Runtime: 1.30606 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,9,0.729737,12.165841,12.625294,6.567633,0,ok,mpirun -np 9 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 0.729737 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,16,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,16,0.899801,9.911892,10.239091,14.396816,0,ok,mpirun -np 16 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 0.707752 seconds Total Runtime: 0.899801 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,16,0.486412,18.251737,18.941029,7.782592,0,ok,mpirun -np 16 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 0.486412 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3000,25,9.213144,1.000000,1.000000,9.213144,0,ok,./bin/mm_serial 1200 1200 3000,Time: 9.213144 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3000,25,1.037210,8.598770,8.882622,25.930250,0,ok,mpirun -np 25 ./bin/mm_1d 1200 1200 3000,Local Matrix Multiplication Compute Time: 0.693237 seconds Total Runtime: 1.03721 seconds,1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3000,25,0.546876,16.233779,16.846861,13.671900,0,ok,mpirun -np 25 ./bin/mm_2d 1200 1200 3000,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x3000), C(1200x3000) Parallel Time: 0.546876 seconds",1440000,3600000,3600000,8640000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3600,1,55.087894,1.000000,1.000000,55.087894,0,ok,./bin/mm_serial 1200 1200 3600,Time: 55.087894 seconds,1440000,4320000,4320000,10368000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3600,1,10.344600,1.000000,5.325280,10.344600,0,ok,mpirun -np 1 ./bin/mm_1d 1200 1200 3600,Local Matrix Multiplication Compute Time: 10.2689 seconds Total Runtime: 10.3446 seconds,1440000,4320000,4320000,10368000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,1200,3600,1,40.288878,1.000000,1.367323,40.288878,0,ok,mpirun -np 1 ./bin/mm_2d 1200 1200 3600,"mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x3600), C(1200x3600) Parallel Time: 40.288878 seconds",1440000,4320000,4320000,10368000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,1200,3600,4,55.087894,1.000000,1.000000,55.087894,0,ok,./bin/mm_serial 1200 1200 3600,Time: 55.087894 seconds,1440000,4320000,4320000,10368000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,1200,3600,4,2.842830,3.638839,19.377836,11.371320,0,ok,mpirun -np 4 ./bin/mm_1d 1200 1200 3600,mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 2.74726 seconds Total Runtime: 2.84283 seconds,1440000,4320000,4320000,10368000000,0,0,1,q_dominant
