implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,3000,1200,600,16,4320000000,2.717310000,1.000000,1.000000,2.717310000,1
Implementation 1 (Serial),m_dominant,3000,1200,600,25,4320000000,2.717310000,1.000000,1.000000,2.717310000,1
Implementation 1 (Serial),m_dominant,3000,1200,1200,1,8640000000,5.502521000,1.000000,1.000000,5.502521000,1
Implementation 1 (Serial),m_dominant,3000,1200,1200,4,8640000000,5.502521000,1.000000,1.000000,5.502521000,1
Implementation 1 (Serial),m_dominant,3000,1200,1200,9,8640000000,5.502521000,1.000000,1.000000,5.502521000,1
Implementation 1 (Serial),m_dominant,3000,1200,1200,16,8640000000,5.502521000,1.000000,1.000000,5.502521000,1
Implementation 1 (Serial),m_dominant,3000,1200,1200,25,8640000000,5.502521000,1.000000,1.000000,5.502521000,1
Implementation 1 (Serial),m_dominant,3000,1200,1800,1,12960000000,8.183944000,1.000000,1.000000,8.183944000,1
Implementation 1 (Serial),m_dominant,3000,1200,1800,4,12960000000,8.183944000,1.000000,1.000000,8.183944000,1
Implementation 1 (Serial),m_dominant,3000,1200,1800,9,12960000000,8.183944000,1.000000,1.000000,8.183944000,1
Implementation 1 (Serial),m_dominant,3000,1200,1800,16,12960000000,8.183944000,1.000000,1.000000,8.183944000,1
Implementation 1 (Serial),m_dominant,3000,1200,1800,25,12960000000,8.183944000,1.000000,1.000000,8.183944000,1
Implementation 1 (Serial),m_dominant,3000,1200,2400,1,17280000000,22.928241000,1.000000,1.000000,22.928241000,1
Implementation 1 (Serial),m_dominant,3000,1200,2400,4,17280000000,22.928241000,1.000000,1.000000,22.928241000,1
Implementation 1 (Serial),m_dominant,3000,1200,2400,9,17280000000,22.928241000,1.000000,1.000000,22.928241000,1
Implementation 1 (Serial),m_dominant,3000,1200,2400,16,17280000000,22.928241000,1.000000,1.000000,22.928241000,1
Implementation 1 (Serial),m_dominant,3000,1200,2400,25,17280000000,22.928241000,1.000000,1.000000,22.928241000,1
Implementation 1 (Serial),m_dominant,3000,1800,600,1,6480000000,4.202033000,1.000000,1.000000,4.202033000,1
Implementation 1 (Serial),m_dominant,3000,1800,600,4,6480000000,4.202033000,1.000000,1.000000,4.202033000,1
Implementation 1 (Serial),m_dominant,3000,1800,600,9,6480000000,4.202033000,1.000000,1.000000,4.202033000,1
Implementation 1 (Serial),m_dominant,3000,1800,600,16,6480000000,4.202033000,1.000000,1.000000,4.202033000,1
Implementation 1 (Serial),m_dominant,3000,1800,600,25,6480000000,4.202033000,1.000000,1.000000,4.202033000,1
Implementation 1 (Serial),m_dominant,3000,1800,1200,1,12960000000,9.113479000,1.000000,1.000000,9.113479000,1
Implementation 1 (Serial),m_dominant,3000,1800,1200,4,12960000000,9.113479000,1.000000,1.000000,9.113479000,1
Implementation 1 (Serial),m_dominant,3000,1800,1200,9,12960000000,9.113479000,1.000000,1.000000,9.113479000,1
Implementation 1 (Serial),m_dominant,3000,1800,1200,16,12960000000,9.113479000,1.000000,1.000000,9.113479000,1
Implementation 1 (Serial),m_dominant,3000,1800,1200,25,12960000000,9.113479000,1.000000,1.000000,9.113479000,1
Implementation 1 (Serial),m_dominant,3000,1800,1800,1,19440000000,20.543120000,1.000000,1.000000,20.543120000,1
Implementation 1 (Serial),m_dominant,3000,1800,1800,4,19440000000,20.543120000,1.000000,1.000000,20.543120000,1
Implementation 1 (Serial),m_dominant,3000,1800,1800,9,19440000000,20.543120000,1.000000,1.000000,20.543120000,1
Implementation 1 (Serial),m_dominant,3000,1800,1800,16,19440000000,20.543120000,1.000000,1.000000,20.543120000,1
Implementation 1 (Serial),m_dominant,3000,1800,1800,25,19440000000,20.543120000,1.000000,1.000000,20.543120000,1
Implementation 1 (Serial),m_dominant,3000,1800,2400,1,25920000000,40.333942000,1.000000,1.000000,40.333942000,1
Implementation 1 (Serial),m_dominant,3000,1800,2400,4,25920000000,40.333942000,1.000000,1.000000,40.333942000,1
Implementation 1 (Serial),m_dominant,3000,1800,2400,9,25920000000,40.333942000,1.000000,1.000000,40.333942000,1
Implementation 1 (Serial),m_dominant,3000,1800,2400,16,25920000000,40.333942000,1.000000,1.000000,40.333942000,1
Implementation 1 (Serial),m_dominant,3000,1800,2400,25,25920000000,40.333942000,1.000000,1.000000,40.333942000,1
Implementation 1 (Serial),m_dominant,3000,2400,600,1,8640000000,6.178851000,1.000000,1.000000,6.178851000,1
Implementation 1 (Serial),m_dominant,3000,2400,600,4,8640000000,6.178851000,1.000000,1.000000,6.178851000,1
Implementation 1 (Serial),m_dominant,3000,2400,600,9,8640000000,6.178851000,1.000000,1.000000,6.178851000,1
Implementation 1 (Serial),m_dominant,3000,2400,600,16,8640000000,6.178851000,1.000000,1.000000,6.178851000,1
Implementation 1 (Serial),m_dominant,3000,2400,600,25,8640000000,6.178851000,1.000000,1.000000,6.178851000,1
Implementation 1 (Serial),m_dominant,3000,2400,1200,1,17280000000,63.754387000,1.000000,1.000000,63.754387000,1
Implementation 1 (Serial),m_dominant,3000,2400,1200,4,17280000000,63.754387000,1.000000,1.000000,63.754387000,1
Implementation 1 (Serial),m_dominant,3000,2400,1200,9,17280000000,63.754387000,1.000000,1.000000,63.754387000,1
Implementation 1 (Serial),m_dominant,3000,2400,1200,16,17280000000,63.754387000,1.000000,1.000000,63.754387000,1
Implementation 1 (Serial),m_dominant,3000,2400,1200,25,17280000000,63.754387000,1.000000,1.000000,63.754387000,1
Implementation 1 (Serial),m_dominant,3000,2400,1800,1,25920000000,28.296146000,1.000000,1.000000,28.296146000,1
Implementation 1 (Serial),m_dominant,3000,2400,1800,4,25920000000,28.296146000,1.000000,1.000000,28.296146000,1
Implementation 1 (Serial),m_dominant,3000,2400,1800,9,25920000000,28.296146000,1.000000,1.000000,28.296146000,1
Implementation 1 (Serial),m_dominant,3000,2400,1800,16,25920000000,28.296146000,1.000000,1.000000,28.296146000,1
Implementation 1 (Serial),m_dominant,3000,2400,1800,25,25920000000,28.296146000,1.000000,1.000000,28.296146000,1
Implementation 1 (Serial),m_dominant,3000,2400,2400,1,34560000000,53.982665000,1.000000,1.000000,53.982665000,1
Implementation 1 (Serial),m_dominant,3000,2400,2400,4,34560000000,53.982665000,1.000000,1.000000,53.982665000,1
